episode,score,training_reward,final_day,final_food,final_occupied,steps,elapsed_seconds
1,7500,0.0,38,66000,1,1000,2.691118
2,7500,0.0,26,46800,1,1000,6.172114
3,7500,0.0,16,30800,1,1000,9.68968
4,7500,0.0,9,19600,1,1000,12.95534
5,7500,0.0,15,29200,1,1000,16.047753
6,7535,0.0,4,11500,2,1000,19.052184
7,7500,0.0,3,10000,1,1000,21.945037
8,7500,0.0,2,8400,1,1000,24.944228
9,7500,0.0,2,8400,1,1000,27.940594
10,7500,0.0,1,6800,1,1000,30.887917
11,7500,0.0,1,6800,1,1000,33.535283
12,7500,0.0,1,6800,1,1000,36.80589
13,7500,0.0,1,6800,1,1000,40.526385
14,7500,0.0,1,6800,1,1000,44.492905
15,7500,0.0,1,6800,1,1000,48.288609
16,7500,0.0,1,6800,1,1000,51.727239
17,7500,0.0,1,6800,1,1000,54.728411
18,7535,0.0,1,6700,2,1000,58.55465
19,7675,0.0,1,6090,6,1000,62.488869
20,7570,0.0,2,8150,3,1000,66.627659
21,7785,0.0,2,7250,9,1000,70.527249
22,7570,0.0,1,6550,3,1000,73.83002
23,7850,0.0,1,5310,11,1000,78.03353
24,7570,0.0,1,6550,3,1000,82.221628
25,7535,0.0,1,6700,2,1000,85.287077
26,7535,0.0,1,6700,2,1000,88.669563
27,7535,0.0,1,6700,2,1000,93.530035
28,7500,0.0,1,6800,1,1000,97.777202
29,7880,0.0,2,6900,12,1000,102.16677
30,7500,0.0,1,6800,1,1000,105.872326
31,7500,0.0,1,6800,1,1000,109.603207
32,7500,0.0,1,6800,1,1000,113.082667
33,7500,0.0,1,6800,1,1000,117.189444
34,7535,0.0,1,6700,2,1000,121.507904
35,7535,0.0,1,6700,2,1000,125.556921
36,7500,0.0,1,6800,1,1000,129.268821
37,7500,0.0,1,6800,1,1000,133.057769
38,7535,0.0,1,6700,2,1000,137.507495
39,7535,0.0,1,6700,2,1000,142.159311
40,7535,0.0,1,6700,2,1000,146.016227
41,7535,0.0,1,6700,2,1000,149.662007
42,7535,0.0,2,8300,2,1000,154.459104
43,7535,0.0,1,6700,2,1000,158.311523
44,7535,0.0,1,6700,2,1000,162.516761
45,7535,0.0,1,6700,2,1000,166.414268
46,7535,0.0,1,6700,2,1000,171.239423
47,7535,0.0,1,6700,2,1000,176.355512
48,7500,0.0,1,6800,1,1000,180.423346
49,7500,0.0,1,6800,1,1000,184.603727
50,7500,0.0,1,6800,1,1000,188.432602
51,7500,0.0,1,6800,1,1000,192.317787
52,7500,0.0,1,6800,1,1000,196.122213
53,7500,0.0,1,6800,1,1000,199.691216
54,7500,0.0,1,6800,1,1000,202.746914
55,7500,0.0,1,6800,1,1000,206.293873
56,7500,0.0,1,6800,1,1000,209.866046
57,7500,0.0,1,6800,1,1000,213.406959
58,7500,0.0,1,6800,1,1000,216.610801
59,7500,0.0,1,6800,1,1000,220.127187
60,7500,0.0,1,6800,1,1000,223.468312
61,7500,0.0,1,6800,1,1000,226.815458
62,7500,0.0,1,6800,1,1000,229.969412
63,7500,0.0,1,6800,1,1000,233.568595
64,7500,0.0,1,6800,1,1000,236.386375
65,7500,0.0,1,6800,1,1000,239.806428
66,7500,0.0,1,6800,1,1000,243.368667
67,7500,0.0,1,6800,1,1000,247.143851
68,7500,0.0,1,6800,1,1000,250.620113
69,7500,0.0,1,6800,1,1000,254.061902
70,7500,0.0,1,6800,1,1000,257.516563
71,7500,0.0,1,6800,1,1000,261.680507
72,7500,0.0,1,6800,1,1000,265.502559
73,7500,0.0,1,6800,1,1000,268.875271
74,7535,0.0,1,6700,2,1000,272.241676
75,7535,0.0,1,6700,2,1000,276.678132
76,7535,0.0,1,6700,2,1000,280.50394
77,7535,0.0,1,6700,2,1000,285.700903
78,7500,0.0,1,6800,1,1000,289.350652
79,7500,0.0,1,6800,1,1000,293.266984
80,7500,0.0,1,6800,1,1000,297.023955
81,7500,0.0,1,6800,1,1000,300.501294
82,7500,0.0,1,6800,1,1000,303.779899
83,7535,0.0,1,6700,2,1000,308.99485
84,7500,0.0,1,6800,1,1000,312.30749
85,7500,0.0,1,6800,1,1000,315.731563
86,7500,0.0,1,6800,1,1000,318.688899
87,7500,0.0,1,6800,1,1000,322.098055
88,7500,0.0,1,6800,1,1000,325.755902
89,7500,0.0,1,6800,1,1000,329.353982
90,7500,0.0,1,6800,1,1000,332.92686
91,7500,0.0,1,6800,1,1000,336.846119
92,7500,0.0,1,6800,1,1000,340.577121
93,7500,0.0,1,6800,1,1000,344.542446
94,7500,0.0,1,6800,1,1000,348.170845
95,7500,0.0,1,6800,1,1000,351.773316
96,7500,0.0,1,6800,1,1000,355.077937
97,7500,0.0,1,6800,1,1000,358.680798
98,7500,0.0,1,6800,1,1000,362.427414
99,7500,0.0,1,6800,1,1000,365.8137
100,7500,0.0,1,6800,1,1000,369.267116
